publisher,year_published
Research in Transportation Economics,2020
Our Heritage,1991
International Journal of Supply Chain Management,2019
American Conference On Information Systems Workshop On Smart Manufacturing Proceedings,2017
Indian Journal of Management,2017
Journal of Cases on Information Technology,2018
Yuridika,2020
MS Thesis,2019
Journal of Manufacturing Systems,2018
Food and Agriculture Organization of the United Nations,2018
Blockchain in Healthcare Today,2020
Logistics,2018
Information Technology and Management,2014
Management Decision,2019
International Journal on Digital Libraries,2004
Frontiers in Bioengineering and Biotechnology,2019
Majalah Ilmiah Bahari Jogja,2020
Market Economy Problems,2020
Service Industries Journal,2013
International Journal of Food Science and Technology,2020
Journal of Cleaner Production,2019
Abstract and Applied Analysis,2014
The smart connected Deloitte,2017
Transportation Research Record,2018
Production Planning Control,2019
International Journal of Simulation Modelling,2015
Logistics,2019
ISE Magazine,2018
Procedia Manufacturing,2018
International Journal of Production Economics,2021
International Journal of Supply Chain Management,2020
Future Generation Computer Systems,2020
Omega,2020
Journal of the Association for Information Systems,2010
Management Studies,2018
MIS Quarterly Executive,2019
Mediterranean Conference on Information Systems MCIS,2018
Frontiers of Engineering Management,2020
IEEE Access,2020
Information Discovery and Delivery,2017
Entrepreneurial Business and Economics Review,2020
SSRN Electronic Journal,2015
CIGFARO Journal,2019
Journal of Advances in Management Research,2017
Harvard Business Review,2018
Journal of Modern Project Management,2020
International Journal of Management,2020
Supply Chain Management,2005
International Journal of Advanced Manufacturing Technology,2013
Publishing Research Quarterly,2014
Journal of Enterprise Information Management,2015
International Journal of Scientific and Technology Research,2020
South African Food Review,2020
The Journal of Peasant Studies,2018
Applied Energy,2018
ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,2019
Journal of Technology Management for Growing Economies,2017
Advances in Technology and Engineering Systems,2018
Strategic decisions and risk management,2019
Journal of Manufacturing Technology Management,2020
Journal of Cases on Information Technology,2018
Fashion and Textiles,2017
Business Process Management Journal,2018
IEEE Sensors Journal,2020
Revista Produção Online,2019
IUP Journal of Operations Management,2019
Construction and Architectural Management,2019
RetailWeek CONNECT,2018
Healthcare quarterly,2018
Material Handling Logistics,2018
Interfaces,2004
PwC South A marketplace without boundaries,2017
Journal of Corporate Accounting Finance,2020
South African Food Review,2020
ACM Computing Surveys,2020
IEEE Transactions on Engineering Management,2019
Resources,2020
IEEE Journal of Circuits,2019
CIB World Building Congress,2019
Journal of Supply Chain Management,2019
International Journal of Supply Chain Management,2020
MARINE INTELLECTUAL TECHNOLOGIES,2019
The Verge,2018
Journal of Risk and Financial Management,2020
Modern Materials Handling,2018
Advances in Technology and Engineering Systems,2019
The Journal of International Scientific Researches,2018
International Journal of Civil Engineering and Technology,2019
IBM Institute for Business value,2017
Competition and Regulation in Network Industries,2017
BMC Surgery,2019
International Journal of Information Management,2011
Jurnal Manajemen Bisnis,2019
IEEE Access,2020
IET Collaborative Intelligent Manufacturing,2020
International Journal of Production Research,2020
Australasian Journal of Information Systems,2019
International Journal of Systems Assurance Engineering and Management,2017
SSRN Electronic Journal,2020
Field Actions Science Report Issue,2019
International Journal of Advanced Trends in Computer Science and Engineering,2020
International Journal of Production Research,2018
Analytica Chimica Acta,2020
Harvard Business Review,2019
Science of the Total Environment,2021
European Journal of Information Systems,2001
Capitale Culturale,2020
Discursos Fotograficos,2012
Smart and Sustainable Manufacturing Systems,2020
BCG Perspectives,2016
Deloitte University Press,2016
International Academic Journal of Procurement and Supply Chain Management,2019
Journal of Computational Design and Engineering,2018
Review,2020
Journal of Big Data,2018
Modern Economy,2017
Technology and Society,2019
IEEE Access,2020
Technology Cognizant,2017
International Journal of Engineering Research and,2019
International Journal of Manufacturing Technology and Management,2015
Quality Access to Success,2018
International Journal of Intelligent Information Technologies,2020
International Journal of Manufacturing Technology and Management,2017
Journal of Educational Technology and Online Learning,2020
International Journal of Advanced Manufacturing Technology,2018
Human Vaccines and Immunotherapeutics,2020
European Journal of Engineering Research and Science,2020
Journal of Manufacturing Technology Management,2020
Journal of Sustainable Development,2015
Journal of Open and Complexity,2015
Sensors,2020
Supply Chain Management,2015
Supply Chain Forum,2020
Supply Chain Management,2014
Supply Chain Pulse,2020
PricewaterhouseCoopers GmbH,2017
MIT Sloan Management Review,2018
International Journal of Innovative Technology and Exploring Engineering,2019
Fujitsu Scientific and Technical Journal,2019
Transfusion,2020
Strategy Business,2016
Energies,2019
Proceedings of the Canadian Engineering Education Association,2019
Production Planning and Control,2020
Production Planning and Control,2016
Sensors,2018
Foundations and Trends in Information and Operations Management,2011
Gestão Produção,2009
International Journal of Business and Management Future,2020
International Journal of Interactive Multimedia and Artificial Intelligence,2017
Brazilian Journal of Otorhinolaryngology,2010
International Journal of Sustainable Engineering,2017
Strategic decisions and risk management,2018
Construction Research and Innovation,2019
International Journal of Production Research,2018
Journal of and Management Economics,2019
ACM Transactions on Design Automation of Electronic Systems,2015
International Journal of Accounting Information Systems,2020
Computer and Information Science,2010
PricewaterhouseCoopers GmbH,2017
IEEE Transactions on Very Large Scale Integration Systems,2020
Supply Demand Chain Executive,2017
Journal of Information Technology in Construction,2020
Journal of the Music and Entertainment Industry Educators Association,2012
CIO,2017
Journal of Commerce and Management Thought,2017
Quality Access to Success,2017
Medical Marketing and Media,2019
Journal of Systems Science and Systems Engineering,2012
SSRN Electronic Journal,2018
International Journal of Business Information Systems,2007
Computers and Security,2020
Emerald Emerging Markets Case Studies,2018
Studies in Computational Intelligence,2017
Logistics Information Management,1998
Intel Technology Journal,2004
Frontiers of Engineering Management,2020
Journal of Stored Products Research,2020
CBR Working Paper,2018
SSRN Electronic Journal,2017
Journal of Industrial Information Integration,2018
IOP Conference Materials Science and Engineering,2018
Journal of Digital Asset Management,2006
Molecules,2020
SSRN Electronic Journal,2019
Manufacturing and Service Operations Management,2018
Digital Journalism,2020
npj Science of Food,2018
International Journal of Supply Chain Management,2020
Evolutionary Computation IEEE Congress,2016
Proceedings of the CIB World Building Congress Volume Building up business operations and their Shaping materials and technologies,2016
Strategy Leadership,2003
Rapid Prototyping Journal,2020
Paper Europe,2000
Law Teacher,2016
Journal of Agromedicine,2020
Computer Fraud and Security,2017
World Journal on Educational Current Issues,2019
Ergonomics,2019
Computers in Human Behavior,2013
International Journal of Supply Chain Management,2020
Journal of Construction Engineering and Management,2017
European Research Seminar on Logistics and SCM,2016
Engineering,2019
Technological Forecasting and Social Change,2019
Future Studies Research Trends and Strategies,2019
Healthcare,2020
SSRN Electronic Journal,2019
Systems Engineering,2018
White Paper,2014
Logistics Information Management,2000
International Journal of Logistics Management,2000
Cybernetics and Systems,2020
