publisher,year_published
The Daily News,2014
The International Journal of Logistics Management An International Journal The International Journal of Logistics Management Iss,2004
Decision Sciences,2011
An International Journal International Journal of Physical Distribution Logistics Journal,2007
Journal of Manufacturing Technology Management,2007
International Journal of Automation and Logistics,2016
Journal of Product Brand Management Iss Journal of Product Brand Management Strategic Direction Iss Journal of Business Industrial Marketing,2000
for Manufacturing Engineering and Automation,2004
Journal of Petroleum Technology,2015
IEEE Transactions on Circuits and Systems Express Briefs,2011
Logos,2012
Information Security Magazine,2016
International Journal of Agile Management Systems Iss International Journal Iss International Journal of Operations Production Management Iss The International Journal of Logistics Management,2000
Lectra Mag,2001
IEEE Transactions on Nuclear Science PART,2012
Harvard Business Review,2016
Eval Cost Sanit,2016
Supply Chain An International Journal International Journal of Operations Production Management An International Journal Iss Göran Svensson Supply Chain An International Journal,2009
Systems journal of transdisciplinary systems science,2005
International Journal of Operations Production Management An International Journal Iss International Journal of Operations Production Management Iss Industrial Management Data Systems,2005
Review of Architecture and Building Science,2014
International Conference on Computer Systems and Technologies,2006
International Journal of Advanced Logistics,2012
KOREA INTERNATIONAL COMMERCIAL REVIEW,2008
Supply Chain An International Journal International Journal Management Decision Iss International Journal of Physical Distribution Logistics Management,1999
Journal of Manufacturing Technology Management International Journal of Physical Distribution Logistics Management Iss International Journal of Pharmaceutical and Healthcare Marketing Iss,2013
BMJ Glob Health,2018
VertigO numéro,2017
An International Journal Iss International Journal of Physical Distribution Logistics Management International Journal of Operations Production Management Iss International Journal of Agile Management Systems,1999
Management Research News,2007
The International Journal of and Change Annual Review,2005
Supply Chain An International Journal,2011
Fertility and Sterility,2019
An International Journal Iss,2016
Beijing Ligong Daxue of Beijing Institute of Technology,2005
AATCC Review,2003
Jisuanji Jicheng Zhizao Integrated Manufacturing CIMS,2008
International Journal Iss International Journal International Journal Iss The International Journal of Logistics Management Iss,1997
The Cryosphere Discussions,2016
Cri me Science,2013
Management and Education,2011
Defence Today September,2011
Conference Record IEEE Instrumentation and Measurement Technology Conference,1999
International Journal of Agile Management Systems International Journal of Operations Production Management Iss An International Journal,1999
Mintel,2020
Mpra,2008
Renewable and Sustainable Energy Reviews,2016
Logistics Information Management Journal of Business Industrial Marketing International Journal of Physical Distribution Logistics Management Iss The International Journal of Logistics Management,1999
Management Research News Management Research Review Journal,2004
Customer Relationship CRM,2017
Social Science Research,1999
Textile Trends,2011
International Journal of Quality Reliability Management Measuring Business Excellence Journal of Enterprise Information Management Journal of Services Marketing,2010
Supply Chain An International Journal International Journal of Physical Distribution Logistics Management Iss Journal of Business Industrial Marketing,2012
Germany,2013
SSRN Electronic Journal,2014
Computers Education,2015
An International Journal Construction and Architectural Management Iss Construction and Architectural Management Iss An International Journal,2012
An International Journal Iss Construction and Architectural Management Supply Chain Management An International Journal Iss,2010
Radio Science,1990
Journal of the Operational Research Society,2006
The International Journal of Logistics Management The International Journal of Logistics Management Iss The International Journal of Logistics Management,2001
Supply Chain An International Journal International Journal The International Journal of Logistics Management Iss British Food Journal,1998
The International Journal Of Business Management,2015
Journal of Chemical Information and Modeling,2012
Management Research Review International Journal of Physical Distribution Logistics Management International Journal of Physical Distribution Logistics Management Iss International Journal of Productivity and Performance Management,2011
IEEE Transactions on Biomedical Circuits and Systems,2019
Supply Chain An International Journal The International Journal of Logistics Management IssSupply Chain Implementation Issues and Research Opportunities The International Journal of Logistics Management,2007
International Journal of Information Communication Technologies and Human Development,2011
The International Journal of Logistics Management The International Journal of Logistics Management Iss International Journal of Physical Distribution Logistics Management,2009
First International Conference on Artificial Intelligence for Industries,2018
International Journal of Physical Distribution Logistics Management Business Process Management Journal Iss International Journal Iss The International Journal of Logistics Management,2000
Journal of Facilities Management,2019
The government Office for London,2011
Journal of Systems and Computers,2013
The International Journal of Logistics Management Supply Chain An International Journal Iss International Journal of Physical Distribution Logistics Management,2015
Strategy Business,2015
El profesional de la información,2016
Logistics Information Management The International Journal of Logistics Management Iss International Journal of Operations Production Management International Journal of Operations Production Management,1999
Marketing Intelligence Planning,2015
ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,2011
Journal of Educational Media and Library Sciences,2015
International Journal of Physical Distribution Logistics Management,2011
Industrial Management Data Systems,2012
Supply Chain An International Journal The International Journal of Logistics Management Iss International Journal of Operations Production Management Iss International Journal of Operations Production Management,2005
Ccs,2011
Supply Chain An International Journal International Journal of Physical Distribution Logistics Management Iss International Journal of Physical Distribution Logistics Management,2004
Physician executive,2001
American Geophysical Union,2003
SSRN Electronic Journal,2014
VDI Nachrichten,2011
SSRN Electronic Journal,2014
RFiD Journal,2012
The International Journal of Logistics Management Iss The International Journal of Logistics Management Supply Chain An International Journal,1997
American Journal of Economics,1996
Chongqing Daxue of Chongqing University,2009
Business Process Management Journal Business Process Management Journal,2015
Physician executive,2001
Logistics Transport Focus,2003
The International Journal of Logistics Management,2004
International Conference on Innovations in Information Technology,2018
The International Journal of Logistics Management International Journal of Physical Distribution Logistics Management The International Journal of Logistics Management,2001
Técnica administrativa,2005
ZWF Zeitschrift fuer Wirtschaftlichen Fabrikbetrieb,2008
The International Journal of Logistics Management The International Journal of Logistics Management Iss International Journal of Physical Distribution Logistics Management Iss International Journal of Operations Production Management,2004
IEEE Journal of Circuits,1997
Hydrocarbon Processing,2018
The International Journal of Logistics Management An International Journal Iss The International Journal of Logistics Management Iss The International Journal of Logistics Management,1996
NIST Special Publication,2019
Strategic An International Journal,2009
Information Systems Research,2001
Source Annales Zoologici Fennici,1995
Journal of Enterprise Information Management Journal of Small Business and Enterprise Development International Marketing Review,2004
McKinsey,2017
Supply Chain An International Journal International Journal of Physical Distribution Logistics Management Iss Journal of Business Industrial Marketing,2008
An International Journal International Journal of Physical Distribution Logistics Management International Journal of Operations Production Management International Journal of Operations Production Management,2010
IEEE Aerospace Conference Proceedings,2002
BMC public health,2014
IEEE Transactions on Very Large Scale Integration Systems,2002
OECD Digital Economy Papers,2013
WSEAS Transactions on Computers,2008
Journal of Management Development Journal of Advances in Management Research Iss International Journal of Manpower Iss An International Journal,2003
Polish Journal of Management Studies,2010
Industrial Management Data Systems International Journal Supply Chain An International Journal Iss Business Process Management Journal,2004
IEEE Transactions on Circuits and Systems Express Briefs,2010
Journal of Business Industrial Marketing Journal of Business Industrial Marketing Iss International Journal of Operations Production Management Iss International Journal of Operations Production Management,2009
SSRN Electronic Journal,2011
The International Journal of Logistics Management,2001
Supply Chain An International Journal,2013
National Journal of System and Information Technology,2011
International Journal of Electronics,2012
International Journal of Operations Production Management The International Journal of Logistics Management Iss International Journal of Physical Distribution Logistics Management Iss,1997
International Journal of Operations Production Management International Journal of Physical Distribution Logistics Management Journal of Business Industrial Marketing Iss International Journal of Operations Production Management,1993
SSRN Electronic Journal,2014
MIT Sloan Management Review,2006
The International Journal of Logistics Management Business Process Management Journal Iss The International Journal of Logistics Management Iss The International Journal of Logistics Management,2000
The International Journal of Logistics Management The International Journal of Logistics Management International Journal of Physical Distribution Logistics Management Iss The International Journal of Logistics Management,1993
AATCC Magazine,2001
IEEE Journal of Circuits,2010
The TQM Journal International Journal Iss International Journal of Quality Reliability Management,2008
Management Science,2007
Supply Chain An International Journal International Journal of Physical Distribution Logistics Management Iss International Journal of Public Sector Management,2009
Supply Chain An International Journal Iss International Journal of Operations Production Management Supply Chain Management An International Journal Iss Chris Fill Management Decision,2000
Journal of Systems and Information Technology Marketing Intelligence Planning Good American Journal of Business Iss,2012
International Journal of Modelling and Simulation,2010
Journal of Quality,2015
American Journal of Tropical Medicine and Hygiene,2018
Advanced Engineering Informatics,2017
An International Journal Iss International Journal of Physical Distribution Logistics Management Logistics Information Management Iss The International Journal of Logistics Management,1994
The International Journal of Logistics Management Industrial Management Data Systems The International Journal of Logistics Management Iss The International Journal of Logistics Management,1993
Journal of Humanitarian Logistics and Supply Chain Management International Journal of Physical Distribution Logistics Management International Journal of Physical Distribution Logistics Management,2017
Asia Pacific Journal of Marketing and Logistics Management Research Review The International Journal of Logistics Management,2014
La Revue des Sciences de Gestion,2015
Supply Chain An International Journal Iss International Journal of Operations Production Management An International Journal Iss International Journal of Operations,2001
Supply Chain An International Journal The International Journal of Logistics Management Iss The International Journal of Logistics Management,1997
Deutscher Drucker Stuttgart,2000
Prosiding Seminar Nasional Agrologistik Agrologistik Peluang dan Tantangan di Era Digital,2018
International Journal of Physical Distribution Logistics Management International Journal of Physical Distribution Logistics Management The International Journal of Logistics Management Iss The International Journal of Logistics Management,2004
International Journal of Operations and Production Management,2017
A Publication of Cerasis,2016
Deloitte,2015
Maritime Economics and Logistics,2020
International Journal of Production Research,2019
Deloitte,2015
Supply Chain Forum,2020
Interfaces,1995
Journal of Cases on Information Technology,2018
Issues in Science and Technology,2019
Economics and Management,2019
Cbinsights,2019
New Media Society,2016
Aluminium International Today,2018
The International Journal Of Management,2018
Publishing Research Quarterly,2014
Journal of Management Information Systems,2007
Industry Happenings,2016
Quality and Quantity,2010
IEEE Transactions on Nuclear Science,2013
Proceedings of the International Conference on Industrial Engineering and Operations Management,2011
BMC Medicine,2019
Profesional de la Informacion,2016
Science Technology Development Journal Engineering and Technology First,2020
International Congress on Project Management and Engineering,2019
An International Journal Iss International Journal of Physical Distribution Logistics Management International Journal of Physical Distribution Logistics Management Iss Downloaded by EKB Data Center At,2016
Integrated Manufacturing Systems Juha Saranen International Journal of Retail Distribution Management Iss International Journal of Physical Distribution Logistics Management,2003
World of Mining Surface and Underground,2013
Supply Chain An International Journal An International Journal Iss International Journal Iss,2010
Journal of Fashion Marketing and Management,2012
International Journal of Production Economics,2011
Harvard Business Review,1995
The International Journal of and Annual Review,2011
International Journal International Journal of Operations Production Management The International Journal of Logistics Management Iss International Journal of Physical Distribution Logistics Management,1999
Proceedings of the International Conference on Industrial Engineering and Operations Management,2020
International Journal of Supply Chain Management,2020
Business Process Management Journal,2019
Transport,2018
Uncertain Supply Chain Management,2016
Malaysian Journal of Business and Economics,2019
Jurnal Teknologi,2015
International Journal of Supply Chain Management,2014
Journal of Operations Management,2010
Journal of Engineering and Applied Sciences,2016
Advanced Science Letters,2017
Journal of Business Studies Quarterly,2015
International Journal of Engineering Technology,2018
Journal of Industrial Engineering and Management,2018
Logistics,2018
International Journal of Supply Chain Management,2020
International Strategic Management Review,2015
International Journal of Business and Economics Research,2014
Annals of Operations Research,2020
IEEE Access,2019
Transportation Journal,2015
Journal of Manufacturing Technology Management,2009
Management Research Review,2019
International Journal of Integrated Supply Management,2019
Sustainability,2019
Operations and Supply Chain Management,2020
International Journal of Supply Chain Management,2020
Studies in Fuzziness and Soft Computing,2014
International Journal of Production Research,2020
International Journal of Engineering and Advanced Technology,2019
Tourism Planning and Development,2019
Future Internet,2019
Operations and Supply Chain Management,2019
Journal of System and Management Sciences,2019
International Journal of Production Economics,2021
International Journal of Operations and Production Management,2019
Blockchain in Healthcare Today,2018
American Journal of Theoretical and Applied Business,2019
IEEE Engineering Management Review,2019
Work Study,2002
International Journal of Systems and Signal Processing,2020
Sustainability,2019
International Journal of Supply Chain Management,2019
foresight,2018
Gartner,2018
Technological Forecasting and Social Change,2019
Acta Scientiarum Oeconomia,2019
Journal of Service Science and Management,2017
Supply Chain Management,2020
EuroMed of Management,2016
Test Engineering and Management,2020
International Journal of Production Economics,2017
International Journal of Operations and Production Management,2017
International journal of online and biomedical engineering,2019
International Journal of Supply Chain Management,2020
International Journal of Supply Chain Management,2020
Transportation Research Part Logistics and Transportation Review,2018
International Journal of Quality and Reliability Management,2002
Journal of Knowledge Management,2019
International Journal of Information Management,2020
Copenhagen Business Department of Operations Management,2018
Benchmarking,2017
Journal of Travel and Tourism Marketing,2018
European Journal of Operational Research,2018
Cambridge International Manufacturing Symposium,2018
Asian Journal of Business and Accounting,2020
Supply Chain and Operation,2016
International Journal of Information Management,2020
International Journal of Supply Chain Management,2020
Blockchain in Healthcare Today,2018
Sustainability,2019
Quality Access to Success,2019
Blockchain in Healthcare Today,2019
International Business Management,2016
International Journal of Business Innovation and Research,2020
Transportation Research Part Logistics and Transportation Review,2020
International Journal of Management Studies,2019
Cogent Economics and Finance,2019
European Journal of Operational Research,2017
European Journal of Operational Research,2018
Journal of Product Innovation Management,2003
Proceedings of the CIB Conference,2019
Enterprise Information Systems,2012
Symmetry,2019
International Journal of Production Research,2018
International Journal of Physical Distribution Logistics Management,2009
Journal of the Academy of Marketing Science,2010
International Journal of Supply Chain Management,2020
International Journal of Environmental Research and Public Health,2017
Computers and Industrial Engineering,2020
International Journal of Production Economics,2015
International Journal of Production Economics,2017
International Journal of Production Research,2017
Computers and Industrial Engineering,2019
Information and Management,2010
Journal of Manufacturing Technology Management,2016
Sustainability,2019
Archives of Business Research,2018
International Journal of Scientific and Technology Research,2020
Technological Forecasting and Social Change,2020
International Journal of Recent Technology and Engineering Special Issue,2019
International Journal of Supply Chain Management,2019
International Journal of Supply Chain Management,2020
International Journal of Business and Management,2011
Expert Systems,2019
International Journal of Production Economics,2017
International Journal of Scientific and Technology Research,2020
IOSR Journal of Business and Management PP,2013
International Journal of Psychosocial Rehabilitation,2019
Journal of Cleaner Production,2020
Transportation Research Part Logistics and Transportation Review,2020
International Journal of Applied Engineering Research,2016
Enterprise Information Systems,2017
Discrete Dynamics in Nature and Society,2019
Sustainability,2020
Blockchain Technology in Supply Chain Traceability Developing a Framework for Evaluating the Applicability,2017
Computers in Human Behavior,2016
Journal of Business Behavioral Sciences,2018
Journal of Business Economics and Management,2018
Journal of Cleaner Production,2018
Business Process Management Journal,2013
Future Generation Computer Systems,2018
Journal of Theoretical and Applied Electronic Commerce Research,2008
Supply Chain Finance,2017
SSRN Electronic Journal,2018
IEEE Access,2020
International Journal of Advanced Manufacturing Technology,2016
Production Planning Control,2020
VINE Journal of Information and Knowledge Management Systems,2020
International Journal of Physical Distribution and Logistics Management,2006
International Journal of Management Economics and Business,2020
Procedia Social and Behavioral Sciences,2011
International Journal of Operations and Production Management,2019
Operations Management Research,2017
International Journal of Logistics Research and Applications,2020
Solitons and Fractals,2020
International Journal of Production Research,2009
International Journal of Psychosocial Rehabilitation,2020
Journal of Global Operations and Strategic Sourcing,2020
Business Horizons,2013
Annals of Operations Research,2020
Information Technology and Management,2019
SHS Web of Conferences,2020
International Journal of Supply Chain Management,2014
Transportation Research Part Logistics and Transportation Review,2003
International Journal of Information Management,2010
Decision Sciences,2015
International Journal of Systems Operations and Logistics,2016
Mathematical Problems in Engineering,2018
International Journal of Supply Chain Management,2020
Uncertain Supply Chain Management,2019
Journal of International Logistics and Trade,2020
Industrial Marketing Management,2006
International Journal of Business Information Systems,2019
Journal of Family Business Management,2020
Sustainability,2016
International Journal of Logistics Management,2015
Journal of Business and Industrial Marketing,2017
International Journal of Production Economics,2015
Interdisciplinary Journal of Contemporary Research in Business,2011
Sustainability,2020
Applied Energy,2020
Computers in Industry,2006
Jurnal Manajemen dan Agribisnis,2017
International Journal of Advances in Management and Economics,2017
Management Research Review,2015
International Journal of Supply Chain Management,2019
International Journal of Production Economics,2009
Journal of Emerging Trends in Economics and Management Sciences,2015
Sustainability,2019
International Journal of Supply Chain Management,2019
Computers and Industrial Engineering,2019
Cluster Computing,2019
International Journal of Creativity and Change,2019
Journal of Intelligent and Fuzzy Systems,2020
International Journal of Computer Integrated Manufacturing,2015
Supply Chain Management,2020
International Journal of Production Research,2020
The Journal of the British Blockchain Association,2018
Supply Chain Management,2018
Uncertain Supply Chain Management,2020
Sustainability,2019
Computer Science and Application,2018
International Journal on Information Sciences and Computing,2008
Sustainable Development,2020
Revista de Administração Contemporânea,2014
Journal of Cleaner Production,2020
Interfaces,2006
International Journal of Supply Chain Management,2019
International Journal of Applied Evolutionary Computation,2020
International Journal of Information Management,2019
International Journal of Production Economics,2017
Journal of Food Science,2017
Technological Forecasting and Social Change,2020
Journal of Operations Management,2016
International Journal of Operations and Production Management,2019
International Journal of Advanced Science and Technology,2020
ICIC Express Letters,2019
Reinforced Plastics,2017
Polish Journal of Management Studies,2015
International Journal of Research in Engineering and Technology,2016
Conservation and Recycling,2020
Manufacturing and Service Operations Management,2018
International Journal of Healthcare Information Systems and Informatics,2019
Benchmarking,2019
International Journal of Research in Business and Social Science,2017
Information and Management,2014
International Journal of Supply Chain Management,2019
Massachusetts Institute of Supply Chain Management Program Master,2018
International Journal of Production Research,2019
Integrated Manufacturing Systems,2001
International Journal of Production Research,2011
Engineering Economist,2018
American Journal of Industrial and Business Management,2014
International Supply Chain Technology Journal,2018
Heliyon,2020
Journal of Enterprise Information Management,2020
DEStech Transactions on Computer Science and Engineering,2019
Journal of Engineering and Applied Sciences,2016
International Journal of Production Economics,2021
European Journal of Operational Research,2010
Transactions of the VŠB Technical University of Mechanical Series,2018
Information and Management,2015
Jisuanji Jicheng Zhizao Integrated Manufacturing CIMS,2018
Nongye Jixie of the Chinese Society for Agricultural Machinery,2017
European Journal of Operational Research,2011
taxes law,2018
Journal of Business,2012
Supply Chain Management,2009
IEEE Access,2019
Fashion Supply Chain Industry and Business Analysis,2012
Procedia Social and Behavioral Sciences,2014
International Journal of Production Research,2020
International Journal of Management and Technology,2010
Quarterly Journal of Indian Pulp and Paper Technical Association,2018
Journal of Engineering and Technology Management,2012
Journal of Small Business Management,2015
International Journal of Supply Chain Management,2018
Computers and Industrial Engineering,2020
Production,2018
International Journal of Psychosocial Rehabilitation,2019
Sustainability,2015
Technological Forecasting and Social Change,2014
Information Technology and Management,2018
IEEE Transactions on Engineering Management,2011
Mathematics,2019
European Journal of Operational Research,2018
International Journal of Production Economics,2014
Asian Social Science,2015
Computers and Industrial Engineering,2011
South African Journal of Economic and Management Sciences,2019
Beijing Ligong Daxue of Beijing Institute of Technology,2014
Journal of Supply Chain Management,2015
International Journal of Physical Distribution and Logistics Management,2019
Supply Chain Management,2018
Underground Space,2017
Journal of Business Economics,2017
Journal of Cleaner Production,2019
Decision Sciences,2015
International Journal of Information Systems and Supply Chain Management,2017
International Journal of Construction Engineering and Management,2013
International Journal of Information Technology and Business Management,2014
International Supply Chain Technology Journal,2018
International Supply Chain Technology Journal,2018
Sustainability,2018
Acta Technica Jaurinensis,2018
International Journal of Production Economics,2015
Enterprise Information Systems,2019
Information Technology and Management,2015
European Journal of Business and Management Research,2020
Journal of Supply Chain Management Systems,2019
International Journal of Business Innovation and Research,2020
Journal of Business Logistics,2008
Journal of Business and Industrial Marketing,2013
Annals of Operations Research,2020
Journal of the Operational Research Society,2018
University of Wollongong Thesis Collection,2012
Journal of Advanced Research in Dynamical and Control Systems Special,2019
Proceedings for the Northeast Region Decision Sciences Institute,2018
International Journal of Indian Culture and Business Management,2020
JoC Online,2017
Conservation and Recycling,2020
IEEE Access,2019
International Journal of Information Technology and Management,2008
Business Process Management Journal,2012
Academic Journal of Interdisciplinary Studies,2018
International Journal of Advanced Science and Technology,2020
International Journal of Advanced Science and Technology Special,2020
Procedia CIRP,2020
African Journal of Business Management,2015
International Journal of Production Research,2019
Journal of Business Logistics,2003
International Journal of Supply Chain Management,2019
Management Science,2020
International Supply Chain Technology Journal,2018
Future Generation Computer Systems,2019
International Journal of Supply Chain Management,2019
International Journal of Production Research,2013
International Journal of Supply Chain Management,2019
Pan African Medical Journal,2019
Global Journal of Researches in Engineering Civil and Structural Engineering,2013
Journal of Manufacturing Technology Management,2016
June,2016
International Journal of Supply Chain Management,2019
International Journal of Information Management,2020
Transportation Research Part Logistics and Transportation Review,2009
Tourism Review,2019
Journal of Environmental Protection and Ecology,2019
Business Process Management Journal,2003
Uncertain Supply Chain Management,2020
Journal of Military Medicine,2018
International Journal of Production Research,2017
Management Science Letters,2017
Food Logistics,2017
Journal of healthcare information management JHIM,2005
Business Process Management Journal,2012
Academy of Management Proceedings,2019
Supply Chain Management,2016
International Journal of Supply Chain Management,2019
LogForum,2017
Korean Logistics Research Association,2018
Journal of Information Technology Software Engineering,2018
International Journal of Production Research,2020
PeerJ Computer Science,2020
International Journal of Logistics Systems and Management,2012
Journal of Enterprise Information Management,2020
International Journal of Innovative Technology and Exploring Engineering,2019
Journal of Supply Chain Management,2011
Computers and Industrial Engineering,2019
Benchmarking,1991
International Journal of Systems and Signal Processing,2020
International Journal of Information Management,2018
Information Processing in Agriculture,2020
Sustainability Science,2020
International Journal of Physical Distribution and Logistics Management,2019
Information Systems Research,2019
Production and Operations Management,2020
Information Management and Computer Security,2004
Advanced Science Letters,2018
International Journal of Advanced Science and Technology,2019
International Journal of Simulation Modelling,2015
International Journal of Environmental Technology and Management,2001
International Journal on Emerging Technologies,2020
American Surgeon,2020
Kybernetes,2019
Brazilian Business Review,2016
Benchmarking,2020
Materials management in health care,2007
International Supply Chain Technology Journal,2018
International Journal of Information Management,2020
International Journal of Production Research,2020
International Supply Chain Technology Journal,2018
International Supply Chain Technology Journal,2018
Business Process Management Journal,2012
Discrete Dynamics in Nature and Society,2016
Journal of Business and Social Review in Emerging Economies,2017
Computers and Industrial Engineering,2019
Brazilian Journal of Operations Production Management,2019
International Journal of Information Management,2020
International Journal of Supply Chain Management,2020
Journal of Computational and Theoretical Nanoscience,2020
International Journal of Information Management,2013
Production Planning and Control,2014
Procedia Social and Behavioral Sciences,2014
ICT Futures,2008
International Journal of Physical Distribution and Logistics Management,2016
Journal of Marketing,2013
International Journal of Technology Management,2002
International Journal of Information Technology and Management,2002
Industrial Marketing Management,2005
Journal of Economic and Social Research,2011
Norwegian University of science and technology,2016
Transportation Research Part Logistics and Transportation Review,2008
International Journal of Business Research Information Technology,2015
Journal of Business Logistics,2014
Conservation and Recycling,2020
International Journal of Information Technology and Management,2015
International Journal of Blockchains and Cryptocurrencies,2020
Journal of Cleaner Production,2020
IEEE Access,2019
International Journal of Information Management,2020
European Journal of Operational Research,2006
International Journal of Supply Chain Management,2020
Journal of Chemical and Pharmaceutical Research,2014
Sustainable Development,2020
International Journal of Supply Chain Management,2020
International Food and Agribusiness Management Review,2020
Journal of Global Information Management,2015
Jisuanji Jicheng Zhizao Integrated Manufacturing CIMS,2014
International Journal of Production Economics,2021
Mathematics,2020
Strategic Finance,2014
International Journal of Physical Distribution Logistics Management,2004
Revista de Administracao Mackenzie,2018
Journal of Business Research,2020
International Journal of Production Economics,2014
Information and Management,2019
IETI Transactions on Computers,2016
African Journal of Business Management,2012
Computers and Industrial Engineering,2020
Journal of Management Information Systems,2008
International Journal of Integrated Supply Management,2005
International Journal of Production Economics,2012
Unidir,2020
Journal of Hospitality and Tourism Technology,2019
Logistics,2018
Supply Chain Management Review,2010
International Journal of Supply Chain Management,2019
International Journal of Advanced Computer Science and Applications,2019
International Journal of Retail and Distribution Management,2012
International Journal of Modern Engineering Research,2011
International Journal of Shipping and Transport Logistics,2014
IEEE Engineering Management Review,2017
Fabriksoftware,2020
Quality Access to Success,2017
Sustainability,2020
Computers and Industrial Engineering,2019
Diario,2014
International Journal of Operations Research and Information Systems,2017
International Journal of Electronic Commerce,2005
International Journal of Integrated Supply Management,2011
Technology Innovation Management Review,2015
Journal of Cleaner Production,2020
Management Research Review,2015
Tourism Management,2020
International Journal of Business and Management Review,2015
Production Planning and Control,2016
International Journal of Operations and Production Management,2016
Journal of Intelligent and Fuzzy Systems,2017
Journal of Manufacturing Technology Management,2017
Logistics,2017
International Journal of Intelligent Systems,2021
IEEE Engineering Management Review,2019
Computers and Industrial Engineering,2019
Journal of Enterprise Information Management,2018
Complexity,2020
Test Engineering and Management,2020
Sustainability,2020
Management Science,2020
Groundwater for Sustainable Development,2020
Transportation Journal,2004
Blockchain for securing sustainable transport contracts and supply chain explorative study of blockchain technology in logistics,2016
International Journal of Logistics Systems and Management,2020
Harvard Business Review,2020
Transportation Research Part Logistics and Transportation Review,2017
IEEE Access,2019
Communications of the ACM,2001
Journal of Open and Complexity,2020
Electronic Commerce Research and Applications,2019
Benchmarking,2020
Applied Energy,2018
International Journal of Advanced Science and Technology,2020
European Business Review,2013
Heliyon,2020
International Journal of Logistics Management,2012
Industrial and Engineering Chemistry Research,2013
ICIC Express Letters,2018
International Journal of Information Systems and Supply Chain Management,2015
International Journal of Applied Logistics,2018
Custos e Agronegocio,2019
International Journal of Supply Chain Management,2019
Journal of Business and Industrial Marketing,2010
Value in Health,2019
IBM Journal of Research and Development,2016
Technology Optimization and Change,2019
International Journal of Production Research,2012
International Journal of Operations and Quantitative Management,2003
Journal of Manufacturing Technology Management,2018
Benchmarking,2019
Issues in Informing Science and Information Technology,2013
Journal of Global Information Management,2014
Annual Book of ASTM Standards,2005
International Journal of Production Research,2017
International Journal of Enterprise Computing and Business Systems,2011
Lund University,2016
Journal of Operations Management,2020
Jisuanji Jicheng Zhizao Integrated Manufacturing CIMS,2017
Journal of Computer Science and Technology,2018
MHD Supply Chain Solutions,2014
Journal of Cleaner Production,2017
Applied Energy,2019
Transportation Research Interdisciplinary Perspectives,2020
Production Planning and Control,2020
International Journal of Production Economics,2019
International Journal of Production Research,2020
Waste and Biomass Valorization,2017
International Journal of Logistics Management,2019
Journal of Supply Chain Management,2010
Journal of Cleaner Production,2017
International Journal of Production Economics,2008
Production and Operations Management,1990
VINE,2014
Journal of Theoretical and Applied Information Technology,2017
Journal of Enterprise Information Management,2020
International Journal of Supply Chain Management,2018
International Journal of Technology Transfer and Commercialisation,2016
Supply Chain Management,2007
International Journal of Logistics Systems and Management,2012
Proceedings,2020
International Journal of Supply Chain Management,2019
Transportation Research Part Logistics and Transportation Review,2019
TELKOMNIKA Indonesian Journal of Electrical Engineering,2015
Journal of Enterprise Information Management,2020
Journal of Advances in Management Research,2012
Information Systems Frontiers,2011
Transportation Journal,2011
Expert Systems with Applications,2009
IEEE Transactions on Engineering Management,2019
Journal of Cleaner Production,2017
Journal of Supply Chain Management Systems,2019
Electronic Journal of Information Systems in Developing Countries,2013
Management Science Letters,2014
Proceeding of the Electrical Engineering Computer Science and Informatics,2014
Production Planning and Control,2017
International Journal of Physical Distribution Logistics Management,2004
Global Business Review,2017
ARPN Journal of Engineering and Applied Sciences,2016
Journal of Global Health,2014
EAI Endorsed Transactions on Smart Cities,2020
International Journal of Production Economics,2020
Hazards and Crisis in Public Policy,2016
International Journal of Operations and Production Management,2020
International Journal of Information Systems and Supply Chain Management,2018
Life Science Journal,2015
Journal of Global Information Management,2015
Computers and Industrial Engineering,2017
International Journal of Information Systems and Change Management,2006
Management and Production Engineering Review,2016
International Journal of Integrated Supply Management,2007
Materials management in health care,2006
International Journal of Supply Chain Management,2020
Decision Sciences,2010
International Journal of Production Economics,2019
International Aquafeed magazine,2019
Producao,2008
Journal of the Operational Research Society,2002
MIS Management Information Systems,2008
International Journal of Production Research,2019
Journal of the Operational Research Society,2002
International Journal of Recent Technology and Engineering,2019
International Journal of Procurement Management,2016
Academy of Management Proceedings,2015
International Journal of Supply Chain Management,2019
International Journal of Creativity and Change,2019
Journal of Marketing Theory and Practice,2014
Oecd,2019
Stewart Postharvest Review,2014
Applied Energy,2016
大连理工大学学报,2017
Journal of Business and Industrial Marketing,2018
Information Systems and Management,2020
Sustainability,2018
Journal of Purchasing and Supply Management,2011
Journal of Management and Research,2014
Supply Chain Management Review,2013
International Journal of Production Research,2020
Proceedings of the Institution of Mechanical Part Journal of Engineering Manufacture,2018
International Journal of Technology Management,2002
Journal of Managerial Issues,2016
Operations Research Center and Sloan School of Management,2019
Supply Chain Management,2019
International Journal of Information Systems and Computer Sciences,2019
The International Journal of Logistics Management,2012
AFRICAN JOURNAL OF BUSINESS MANAGEMENT,2012
Science,2019
International Journal of Advanced Manufacturing Technology,2019
World,2010
air and soil pollution,2010
Computer,2020
International Journal of Production Economics,2009
Industrial and Engineering Chemistry Research,2018
IEEE Access,2020
International Journal of Supply Chain Management,2020
International Journal of Scientific and Technology Research,2019
IEEE Access,2020
Procedia Social and Behavioral Sciences,2011
Journal of Environmental Management,2019
